,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
269,258,Aaron Nesmith,IND,2,0,18.6,1.5,5.0,.300,1.0,3.0,.333,1.0,1.0,1.000,0.0,2.5,2.5,2.5,0.5,1.0,1.5,2.0,5.0,3.5
270,259,Oshae Brissett,IND,2,0,13.3,2.0,4.0,.500,0.0,1.5,.000,1.0,1.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,3.3
271,260,Davion Mitchell,SAC,3,0,17.8,2.0,4.3,.462,1.0,3.0,.333,0.0,0.0,,0.3,0.3,0.7,1.3,0.0,0.0,0.3,1.0,5.0,3.3
273,261,Josh Richardson,SAS,2,0,22.4,3.0,11.0,.273,2.0,6.0,.333,2.0,2.0,1.000,0.5,1.5,2.0,0.5,0.5,0.5,2.0,0.5,10.0,3.3
274,262,Dalen Terry,CHI,1,0,5.6,1.0,3.0,.333,1.0,1.0,1.000,2.0,2.0,1.000,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,3.3
275,263,Rudy Gay,UTA,3,0,16.3,1.7,4.7,.357,1.0,3.0,.333,0.0,0.0,,0.3,3.3,3.7,0.3,0.7,0.3,0.3,1.3,4.3,3.2
276,264,Hamidou Diallo,DET,3,0,15.0,2.7,7.3,.364,0.3,1.3,.250,1.7,2.0,.833,0.7,1.3,2.0,0.7,0.3,0.3,1.0,2.3,7.3,3.1
277,265,Cory Joseph,DET,3,1,7.4,1.0,2.3,.429,0.3,1.3,.250,1.3,1.7,.800,0.0,0.0,0.0,1.7,0.3,0.0,0.0,1.7,3.7,3.1
278,266,Maxi Kleber,DAL,3,0,25.9,2.0,5.7,.353,0.7,3.7,.182,0.0,0.0,,0.7,2.0,2.7,1.0,0.7,0.0,0.0,2.0,4.7,3.1
279,267,Romeo Langford,SAS,2,0,19.1,2.0,4.5,.444,0.0,1.0,.000,1.0,1.0,1.000,1.5,0.0,1.5,0.5,0.5,0.5,1.0,2.0,5.0,3.1
280,268,Naji Marshall,NOP,3,0,14.5,2.0,4.7,.429,1.0,1.3,.750,0.0,0.7,.000,0.7,1.7,2.3,0.7,0.3,0.0,0.7,0.7,5.0,3.1
281,269,Wesley Matthews,MIL,2,0,25.8,1.0,4.5,.222,0.5,3.0,.167,1.0,1.0,1.000,0.5,2.5,3.0,0.5,1.5,1.0,0.5,2.0,3.5,3.1
282,270,Patrick Beverley,LAL,3,3,28.8,1.7,7.0,.238,1.0,4.0,.250,0.3,1.0,.333,0.3,2.7,3.0,4.0,1.0,0.3,0.7,4.0,4.7,3.0
283,271,Jaylen Nowell,MIN,3,0,16.2,3.0,7.0,.429,1.0,3.3,.300,1.3,1.3,1.000,0.0,1.0,1.0,1.7,0.3,0.0,2.7,2.0,8.3,3.0
284,272,Willy Hernang?mez,NOP,1,0,11.6,4.0,6.0,.667,0.0,1.0,.000,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,4.0,1.0,8.0,2.9
285,273,Isaiah Joe,OKC,3,0,9.1,1.7,3.3,.500,1.0,2.7,.375,0.0,0.0,,0.0,1.7,1.7,0.7,0.7,0.3,1.0,1.7,4.3,2.9
286,274,Daishen Nix,HOU,2,0,9.4,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,,0.0,1.5,1.5,2.0,1.5,0.0,1.5,1.0,1.5,2.8
287,275,Matisse Thybulle,PHI,3,2,21.9,0.7,3.0,.222,0.3,2.0,.167,0.0,0.0,,0.3,2.3,2.7,0.7,2.3,0.3,0.3,1.7,1.7,2.8
288,276,Isaac Okoro,CLE,3,0,17.9,1.3,3.0,.444,0.3,1.0,.333,1.0,1.7,.600,1.3,0.0,1.3,0.3,1.0,0.0,0.7,2.3,4.0,2.7
289,277,Derrick Rose,NYK,3,0,14.5,1.7,5.7,.294,0.3,2.0,.167,1.3,1.3,1.000,0.0,1.3,1.3,2.7,0.0,0.0,1.0,0.7,5.0,2.7
290,278,Damion Lee,PHO,2,0,19.0,2.0,5.5,.364,1.5,4.5,.333,0.0,0.0,,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,5.5,2.6
