,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
334,320,Onyeka Okongwu,C,22,ATL,12,0,19.9,3.8,5.6,.672,0.0,0.1,.000,3.8,5.5,.682,.672,0.8,1.3,.667,1.9,3.8,5.7,1.0,0.6,0.8,0.7,3.2,8.3
336,321,Isaac Okoro,SG,22,CLE,12,3,14.7,0.8,2.7,.281,0.0,1.0,.000,0.8,1.7,.450,.281,0.7,0.8,.800,0.2,1.2,1.3,0.3,0.4,0.1,0.8,2.0,2.2
337,322,KZ Okpala,PF,23,SAC,6,3,6.5,0.2,0.8,.200,0.2,0.7,.250,0.0,0.2,.000,.300,0.0,0.0,,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.7,0.5
338,323,Kelly Olynyk,PF,31,UTA,14,14,26.6,4.4,7.9,.555,1.6,3.0,.548,2.7,4.9,.559,.659,1.8,2.4,.735,1.2,3.0,4.2,3.3,1.3,0.5,2.6,4.3,12.1
339,324,Eugene Omoruyi,SF,25,OKC,6,0,11.5,2.5,4.3,.577,1.0,1.8,.545,1.5,2.5,.600,.692,1.2,1.8,.636,0.8,1.2,2.0,0.3,0.2,0.0,0.7,2.8,7.2
340,325,Cedi Osman,SF,27,CLE,12,0,20.8,3.0,6.8,.444,1.4,3.8,.378,1.6,3.0,.528,.549,1.1,1.5,.722,0.3,2.0,2.3,1.8,0.1,0.1,0.8,2.0,8.5
341,326,Kelly Oubre Jr.,SF,27,CHO,14,14,30.6,6.8,16.1,.420,2.7,7.8,.349,4.1,8.4,.487,.504,2.2,3.2,.689,0.9,3.9,4.8,1.3,1.2,0.4,1.2,3.1,18.5
342,327,Chris Paul,PG,37,PHO,10,10,30.2,2.8,7.6,.368,0.9,3.3,.273,1.9,4.3,.442,.428,3.0,3.4,.882,0.5,4.0,4.5,9.4,1.7,0.2,1.5,2.3,9.5
343,328,Cameron Payne,PG,28,PHO,10,2,21.0,4.6,10.3,.447,1.9,4.6,.413,2.7,5.7,.474,.539,1.0,1.2,.833,0.3,2.2,2.5,3.7,1.0,0.1,2.0,1.5,12.1
344,329,Theo Pinson,SG,27,DAL,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0
345,330,Scotty Pippen Jr.,PG,22,LAL,2,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.5,2.0,.750,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,1.5
346,331,Mason Plumlee,C,32,CHO,14,14,26.3,3.4,5.6,.608,0.0,0.0,,3.4,5.6,.608,.608,2.2,3.9,.574,2.9,5.9,8.8,4.2,0.4,0.5,1.9,3.3,9.1
347,332,Jakob Poeltl,C,27,SAS,13,13,29.2,5.5,8.6,.643,0.0,0.0,,5.5,8.6,.643,.643,1.5,3.3,.465,3.8,6.0,9.8,3.8,1.0,1.2,2.2,2.1,12.6
348,333,Aleksej Pokusevski,PF,21,OKC,10,6,23.8,3.6,8.4,.429,1.2,3.5,.343,2.4,4.9,.490,.500,0.7,1.3,.538,1.9,3.6,5.5,1.5,0.8,1.6,1.6,1.6,9.1
349,334,Jordan Poole,SG,23,GSW,12,2,29.2,5.2,12.6,.411,2.2,6.8,.321,3.0,5.8,.514,.497,2.9,3.6,.814,0.3,1.4,1.7,4.8,1.1,0.1,3.2,2.4,15.4
350,335,Kevin Porter Jr.,PG,22,HOU,13,13,35.0,6.6,15.9,.415,1.9,5.6,.342,4.7,10.3,.455,.476,4.0,5.2,.776,1.5,4.2,5.7,5.8,1.2,0.3,4.1,2.9,19.2
351,336,Michael Porter Jr.,SF,24,DEN,11,11,29.5,6.1,12.8,.475,3.4,7.3,.463,2.7,5.5,.492,.606,1.3,1.5,.824,1.5,5.5,6.9,1.2,0.5,0.3,1.1,2.9,16.8
352,337,Otto Porter Jr.,SF,29,TOR,7,1,19.1,2.1,4.0,.536,0.9,2.3,.375,1.3,1.7,.750,.643,1.1,1.1,1.000,0.9,1.7,2.6,1.1,1.6,0.0,0.4,1.0,6.3
353,338,Bobby Portis,PF,27,MIL,12,3,26.8,5.3,11.9,.448,1.3,3.8,.348,4.0,8.1,.495,.503,1.3,1.7,.800,2.8,8.3,11.0,2.0,0.4,0.3,1.1,1.2,13.3
354,339,Kristaps Porzi??is,PF,27,WAS,12,12,31.0,7.1,14.4,.491,1.9,5.4,.354,5.2,9.0,.574,.558,4.1,5.1,.803,2.2,6.2,8.3,2.4,0.7,1.3,1.8,3.3,20.2
355,340,Micah Potter,PF,24,UTA,2,0,6.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,1.0,2.0
357,341,Dwight Powell,C,31,DAL,9,5,18.4,2.6,4.0,.639,0.0,0.1,.000,2.6,3.9,.657,.639,1.2,1.6,.786,1.7,2.1,3.8,0.2,0.7,0.4,0.7,2.2,6.3
358,342,Norman Powell,SG,29,LAC,13,5,25.3,4.3,9.9,.434,1.1,3.5,.304,3.2,6.4,.506,.488,2.2,2.9,.763,0.4,2.3,2.7,1.3,0.8,0.3,1.9,1.9,11.9
359,343,Jason Preston,PG,23,LAC,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,344,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,.346,0.8,3.0,.250,1.5,3.5,.429,.404,1.8,2.3,.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0
361,345,Taurean Prince,SF,28,MIN,13,0,19.7,2.8,5.8,.487,1.4,3.3,.419,1.5,2.5,.576,.605,0.5,0.5,.857,0.4,2.2,2.6,1.1,0.3,0.2,0.9,2.5,7.5
362,346,Payton Pritchard,PG,25,BOS,6,0,10.0,1.8,4.2,.440,0.5,1.8,.273,1.3,2.3,.571,.500,0.3,0.7,.500,0.8,1.0,1.8,1.2,0.2,0.0,1.3,0.5,4.5
