,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
196,188,Ben Simmons,BRK,2,0,17.4,3.0,4.5,.667,0.0,0.0,,0.5,1.0,.500,0.5,4.5,5.0,3.0,0.5,0.0,1.0,2.0,6.5,6.9
197,189,Steven Adams,MEM,3,3,23.0,2.7,4.3,.615,0.0,0.0,,0.3,2.0,.167,4.3,3.7,8.0,3.3,0.7,0.3,2.0,4.0,5.7,6.8
198,190,Tim Hardaway Jr.,DAL,3,0,27.3,3.7,10.7,.344,2.7,8.7,.308,0.7,1.0,.667,0.7,2.0,2.7,3.0,1.3,0.0,1.7,1.3,10.7,6.8
199,191,Juancho Hernang?mez,TOR,3,0,18.7,2.3,4.3,.538,1.0,2.0,.500,0.3,0.7,.500,1.0,5.0,6.0,2.0,1.0,0.0,1.0,1.3,6.0,6.8
200,192,Jordan Clarkson,UTA,3,3,28.6,5.7,16.3,.347,2.3,8.7,.269,1.3,1.3,1.000,1.3,1.0,2.3,3.0,0.0,0.3,2.3,1.0,15.0,6.7
201,193,John Collins,ATL,3,3,30.9,3.7,10.7,.344,0.3,3.7,.091,3.3,3.3,1.000,1.7,4.7,6.3,0.7,0.7,0.7,1.0,3.7,11.0,6.7
202,194,Tyus Jones,MEM,3,1,25.0,3.7,9.3,.393,0.7,3.0,.222,0.7,0.7,1.000,0.3,1.3,1.7,3.7,1.0,0.0,1.0,0.3,8.7,6.7
203,195,Collin Sexton,UTA,3,0,21.4,4.7,9.7,.483,0.3,1.3,.250,2.0,3.3,.600,0.7,1.7,2.3,2.3,0.3,0.0,1.7,2.3,11.7,6.6
204,196,Rui Hachimura,WAS,3,0,23.3,5.0,11.0,.455,1.3,3.3,.400,1.0,1.0,1.000,0.0,4.7,4.7,0.7,0.0,0.3,1.7,1.3,12.3,6.5
205,197,Serge Ibaka,MIL,2,0,16.0,3.0,6.0,.500,1.0,2.5,.400,1.0,2.5,.400,2.5,3.5,6.0,0.0,0.0,0.0,0.0,2.0,8.0,6.4
206,198,Herbert Jones,NOP,3,3,25.4,3.3,6.7,.500,0.7,2.0,.333,1.3,1.7,.800,1.0,2.0,3.0,1.7,0.0,0.3,0.3,3.0,8.7,6.4
207,199,Hamidou Diallo,DET,3,0,15.7,2.7,5.7,.471,0.3,1.0,.333,3.0,3.7,.818,1.0,0.7,1.7,1.0,0.3,0.3,0.7,1.7,8.7,6.3
208,200,Saddiq Bey,DET,3,2,29.5,3.3,11.0,.303,1.0,4.7,.214,2.3,2.3,1.000,1.3,3.0,4.3,2.0,1.0,0.0,1.0,1.7,10.0,6.2
210,201,Usman Garuba,HOU,2,0,20.3,1.5,2.5,.600,0.5,0.5,1.000,1.0,2.0,.500,1.5,3.5,5.0,1.0,1.0,2.0,1.0,2.5,4.5,6.2
211,202,Andrew Nembhard,IND,1,1,21.6,3.0,5.0,.600,2.0,3.0,.667,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,8.0,6.2
212,203,Shaedon Sharpe,POR,2,0,21.0,3.5,5.0,.700,1.5,2.5,.600,0.5,1.0,.500,0.0,1.5,1.5,0.0,0.0,0.5,0.5,2.0,9.0,6.2
213,204,Jeremy Sochan,SAS,3,3,27.0,3.7,7.7,.478,0.0,1.7,.000,2.0,2.3,.857,1.0,5.0,6.0,2.0,0.3,1.0,2.0,4.3,9.3,6.2
214,205,Christian Braun,DEN,2,0,19.8,2.0,3.5,.571,0.5,1.0,.500,1.0,1.0,1.000,0.0,2.0,2.0,1.5,1.0,0.0,0.0,1.0,5.5,6.1
215,206,Kenyon Martin Jr.,HOU,2,0,23.2,4.0,7.0,.571,0.0,2.5,.000,0.5,0.5,1.000,2.0,4.0,6.0,1.0,0.0,0.0,2.0,1.0,8.5,6.1
216,207,Eric Gordon,HOU,2,2,27.8,3.5,7.5,.467,1.0,3.5,.286,1.5,1.5,1.000,0.0,1.0,1.0,2.5,0.0,0.5,1.5,1.5,9.5,6.0
217,208,Mike Muscala,OKC,1,0,12.4,2.0,3.0,.667,2.0,3.0,.667,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,6.0,6.0
218,209,Isaiah Livers,DET,3,0,21.3,1.7,5.3,.313,1.3,4.7,.286,2.3,3.0,.778,1.7,2.3,4.0,1.0,0.0,1.0,0.3,1.7,7.0,5.9
219,210,Dwight Powell,DAL,3,3,21.4,2.7,4.7,.571,0.0,0.0,,1.0,1.3,.750,2.7,1.0,3.7,1.7,0.7,0.0,1.0,2.7,6.3,5.9
220,211,Reggie Bullock,DAL,3,3,25.1,2.3,5.7,.412,2.0,5.3,.375,0.3,0.7,.500,0.3,3.0,3.3,1.3,1.0,0.0,0.0,2.7,7.0,5.8
221,212,Wenyen Gabriel,LAL,2,1,16.8,4.0,5.5,.727,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,1.0,1.0,2.5,8.5,5.8
222,213,Blake Griffin,BOS,1,1,22.2,3.0,6.0,.500,1.0,3.0,.333,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,5.8
223,214,Kenrich Williams,OKC,3,0,19.5,2.3,5.0,.467,0.3,1.0,.333,0.3,0.7,.500,0.7,2.7,3.3,1.7,1.0,0.0,0.0,0.7,5.3,5.8
224,215,Gorgui Dieng,SAS,1,0,9.0,1.0,4.0,.250,1.0,3.0,.333,3.0,4.0,.750,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,5.6
225,216,John Konchar,MEM,3,2,31.9,2.3,5.7,.412,0.7,2.7,.250,0.0,0.0,,1.3,6.7,8.0,1.3,0.7,0.0,0.3,2.3,5.3,5.6
226,217,Markieff Morris,BRK,1,0,20.4,2.0,6.0,.333,1.0,3.0,.333,0.0,0.0,,1.0,3.0,4.0,5.0,0.0,1.0,1.0,2.0,5.0,5.6
227,218,Mike Conley,UTA,3,3,31.7,1.7,8.3,.200,0.7,5.0,.133,1.3,1.3,1.000,0.3,2.3,2.7,8.3,1.7,0.0,2.0,2.7,5.3,5.5
228,219,Frank Kaminsky,ATL,1,0,13.3,3.0,3.0,1.000,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,5.5
229,220,Terance Mann,LAC,3,0,19.3,2.0,4.3,.462,0.0,1.7,.000,2.0,2.3,.857,0.0,3.3,3.3,2.3,0.0,0.3,0.3,1.7,6.0,5.5
231,221,Jeff Green,DEN,2,0,20.2,2.5,4.5,.556,0.0,0.5,.000,1.5,1.5,1.000,0.5,1.5,2.0,2.0,0.0,0.5,1.0,1.5,6.5,5.3
232,222,Troy Brown Jr.,LAL,2,2,29.4,2.5,6.5,.385,0.5,2.0,.250,0.0,0.0,,0.5,3.0,3.5,0.5,2.0,0.0,0.0,1.0,5.5,5.2
233,223,Montrezl Harrell,PHI,2,0,4.5,2.5,3.0,.833,0.0,0.0,,1.0,1.5,.667,1.0,1.0,2.0,0.0,0.5,0.5,1.0,1.0,6.0,5.2
